	score1	score2	score3	score4
datum697	12.602	9.582	12.722	20.091
datum698	18.157	15.097	10.123	31.701
datum699	2.672	12.763	18.832	1155.636
datum700	6.013	8.644	18.416	39.138
datum701	4.318	7.385	19.250	112.534
datum702	16.587	9.273	18.067	29.964
datum703	2.056	5.535	11.998	101.951
datum704	3.877	14.130	13.390	60.522
datum705	19.478	12.546	10.932	118.442
datum706	7.325	15.540	14.270	40.442
datum707	3.678	2.646	14.057	77.067
datum708	8.300	7.855	11.138	42.236
datum709	6.257	9.302	15.812	34.235
datum710	15.316	14.874	17.137	22.262
datum711	16.613	8.844	14.556	21.838
datum712	2.079	8.490	15.826	37.384
datum713	11.588	14.877	12.192	22.476
datum714	8.824	11.861	14.277	64.735
datum715	2.329	8.767	13.891	69.156
datum716	14.543	5.688	11.140	21.458
datum717	10.889	16.214	16.493	212.558
datum718	18.480	9.113	19.136	68.170
datum719	14.716	15.383	12.507	28.733
datum720	13.643	15.591	10.049	124.359
datum721	16.238	6.151	19.751	67.946
datum722	7.885	7.202	14.760	34.643
datum723	0.576	1.338	14.089	43.601
datum724	2.152	16.424	11.819	3149.971
datum725	9.779	15.870	19.393	21.613
datum726	10.199	3.626	14.847	42.308
datum727	5.663	9.251	18.161	44.008
datum728	10.699	0.521	15.107	24.582
datum729	10.232	12.159	12.794	25.219
datum730	19.626	16.144	14.462	46.651
datum731	6.580	3.178	16.600	147.129
datum732	15.601	5.836	10.249	29297.384
datum733	9.374	2.782	14.371	20.440
datum734	11.902	12.757	11.010	48.106
datum735	7.707	14.132	10.035	74.007
datum736	5.296	14.382	11.353	82.383
datum737	13.063	13.340	11.366	41.074
datum738	6.896	14.586	16.257	78.581
datum739	5.189	13.653	16.777	56.093
datum740	3.819	16.571	13.431	206.725
datum741	19.821	14.233	16.720	29.114
datum742	17.084	8.271	12.234	24.922
datum743	1.241	14.636	12.851	216.475
datum744	3.916	15.689	15.601	214.378
datum745	4.608	3.997	15.263	20.258
datum746	17.158	6.183	15.828	79.709
datum747	17.692	5.394	13.833	394.613
datum748	11.770	15.696	11.213	175.807
datum749	8.011	10.367	14.292	24.364
datum750	14.562	12.835	13.499	39.140
datum751	20.000	13.119	16.843	41.777
datum752	10.274	15.223	10.240	20.270
datum753	9.025	15.856	17.288	55.280
datum754	2.561	5.474	10.658	511.547
datum755	14.345	4.738	12.496	24.553
datum756	18.586	15.965	16.589	88.436
datum757	12.025	14.515	12.331	45.884
datum758	7.371	15.118	16.476	28.351
datum759	12.923	12.579	15.503	65.406
datum760	10.952	13.277	10.039	57.285
datum761	17.871	6.291	17.421	63.418
datum762	10.747	11.293	12.120	27.042
datum763	14.793	11.372	10.570	30.984
datum764	11.700	7.852	14.260	28.052
datum765	6.501	12.952	16.803	38.599
datum766	14.741	7.350	16.757	78.757
datum767	15.070	13.174	15.882	73.784
datum768	11.746	9.737	12.261	24.355
datum769	4.970	15.564	15.588	35.077
datum770	11.926	3.023	10.011	23.880
datum771	4.608	15.580	12.818	27.178
datum772	18.740	9.418	12.982	96.830
datum773	2.747	6.455	10.438	39.803
datum774	15.270	7.756	12.479	40.549
datum775	4.910	13.508	13.302	221.287
datum776	0.793	0.716	11.020	181.090
datum777	5.922	4.968	17.802	26.699
datum778	6.783	4.500	16.976	78.459
datum779	12.256	1.188	12.347	133.191
datum780	13.820	0.215	18.909	31.014
datum781	4.284	3.172	14.480	26.722
datum782	2.442	12.721	18.650	36.401
datum783	3.678	2.214	17.194	22.353
datum784	1.100	7.071	17.644	75.730
datum785	4.138	9.736	11.202	20.965
datum786	7.551	1.758	12.131	91.595
datum787	15.030	15.538	12.325	76.348
datum788	0.735	0.205	13.855	158.341
datum789	7.717	11.015	12.579	25.638
datum790	14.993	12.403	10.338	24.581
datum791	10.601	1.221	11.999	39.409
datum792	15.315	1.407	16.023	28.475
datum793	11.318	13.255	11.997	113.158
datum794	2.964	11.267	10.610	52.910
datum795	0.059	2.221	12.171	33.979
datum796	12.517	2.026	11.477	31.895
datum797	16.808	16.685	11.017	21.541
datum798	3.669	8.031	13.904	36.294
datum799	7.105	16.420	11.188	317.006
datum800	13.470	13.232	14.312	27.578
datum801	10.143	7.147	10.249	44.213
datum802	10.805	13.431	15.541	59.495
datum803	4.540	11.849	13.302	99.899
datum804	18.988	5.420	18.587	85.834
datum805	0.416	3.011	17.229	440.507
datum806	6.754	3.286	14.601	20.356
datum807	3.620	14.975	14.468	114.812
datum808	10.103	12.898	12.921	59.579
datum809	1.118	13.463	10.899	28.376
datum810	10.434	10.637	10.467	36.580
datum811	9.193	10.170	15.805	36.432
datum812	18.528	10.641	18.551	25.561
datum813	13.028	13.257	10.179	106.793
datum814	19.071	10.263	10.945	65.107
datum815	8.209	16.701	16.978	301.688
datum816	13.254	16.737	12.194	35.794
datum817	1.639	14.592	14.951	595.558
datum818	9.285	14.231	18.026	22.473
datum819	12.736	1.763	17.659	180.013
datum820	12.127	7.127	17.325	22.700
datum821	12.668	16.000	10.192	28.567
datum822	16.131	16.124	11.116	29.688
datum823	13.428	11.138	10.737	21.662
datum824	17.216	7.417	12.376	25.375
datum825	4.492	16.066	11.488	54.762
datum826	15.409	12.685	11.633	33.325
datum827	18.384	9.334	14.254	38.266
datum828	11.964	10.798	12.522	63.738
datum829	13.673	15.869	11.244	502.023
datum830	4.062	0.907	18.377	135.025
datum831	5.982	9.624	16.490	39.278
datum832	16.149	7.222	10.319	230.794
datum833	19.113	11.915	10.621	158.745
datum834	12.872	5.569	14.212	112.801
datum835	13.353	4.486	12.115	38.298
datum836	12.717	15.267	11.974	47.208
datum837	2.019	12.148	11.230	28.152
datum838	4.284	16.434	12.972	35.644
datum839	1.657	0.302	19.570	27.038
datum840	9.390	10.662	18.762	40.097
datum841	11.777	16.071	11.054	32.501
datum842	13.942	11.090	19.337	33.160
datum843	12.968	10.265	13.625	21.449
datum844	11.743	4.767	10.458	48.255
datum845	17.740	16.611	11.167	338.497
datum846	9.381	12.731	10.861	24.247
datum847	7.637	14.139	15.470	216.135
datum848	3.120	0.924	11.378	22.289
datum849	15.613	14.272	10.811	85.747
datum850	8.927	7.120	15.478	416.860
datum851	2.453	4.010	13.204	27.919
datum852	4.505	6.471	11.166	25.586
datum853	11.728	13.840	10.046	25.449
datum854	5.162	7.321	15.996	44.375
datum855	15.421	12.699	17.346	38.603
datum856	5.335	9.605	12.516	42.545
datum857	9.499	8.367	14.422	22.324
datum858	13.573	12.477	19.883	46.720
datum859	3.079	4.540	13.663	38.089
datum860	4.192	5.682	18.744	82.632
datum861	0.195	15.327	15.886	26.696
datum862	10.263	11.780	17.881	61.741
datum863	17.262	0.988	19.942	101.330
datum864	14.669	6.991	15.902	28.050
datum865	12.977	14.766	19.192	75.909
datum866	9.979	12.409	10.791	535.510
datum867	6.480	0.065	11.553	29.927
datum868	9.936	5.061	13.055	41.545
datum869	7.626	15.770	15.914	26.245
datum870	16.803	7.804	16.858	22.765
datum871	11.218	10.771	13.008	88.558
datum872	5.240	11.112	10.270	26.435
datum873	1.984	2.964	18.371	47.894
datum874	13.609	12.551	17.663	288.947
datum875	10.413	1.122	16.597	28.037
datum876	10.020	16.740	15.191	406.535
datum877	4.825	5.844	15.574	22.613
datum878	16.992	14.392	19.895	31.653
datum879	18.372	15.650	10.177	25.171
datum880	15.240	10.838	15.896	30.486
datum881	13.101	16.240	16.321	22.447
datum882	0.233	1.377	12.229	86.067
datum883	10.696	16.753	17.073	22.375
datum884	8.875	14.581	16.231	96.673
datum885	13.276	13.325	16.424	37.450
datum886	10.199	13.460	15.177	132.050
datum887	16.564	6.570	13.314	114.225
datum888	7.936	1.512	10.423	32.152
datum889	4.387	5.108	18.251	54.470
datum890	2.099	15.172	18.588	21.158
datum891	8.663	11.946	17.533	519.158
datum892	7.636	5.777	10.108	23.885
datum893	19.138	10.070	11.488	867.229
datum894	3.536	9.823	12.749	168.984
datum895	13.986	8.895	14.053	43.944
datum896	5.914	8.559	11.316	22.871
datum897	10.541	6.838	12.978	25.072
datum898	14.444	15.684	11.732	784.586
datum899	15.212	1.748	16.476	37.724
datum900	9.815	13.500	12.678	34.750
datum901	5.799	0.931	16.638	192.287
datum902	7.108	3.707	10.852	24.345
datum903	5.332	12.278	13.618	21.589
datum904	19.919	6.173	15.146	21.366
datum905	15.280	6.469	11.383	20.124
datum906	9.766	1.475	11.913	21.632
datum907	11.333	14.557	11.259	66.339
datum908	6.937	7.877	17.259	29.085
datum909	0.681	10.106	19.824	67.700
datum910	18.694	11.708	12.556	28.430
datum911	16.333	8.808	10.318	165.394
datum912	12.535	3.764	14.453	47.412
datum913	12.127	7.364	18.829	64.533
datum914	10.406	0.098	14.694	40.251
datum915	11.348	11.165	14.861	39.505
datum916	13.096	6.990	14.097	28.916
datum917	2.713	7.824	10.786	63.750
datum918	18.507	13.080	17.392	22.184
datum919	10.157	16.476	16.727	21.700
datum920	4.537	12.889	18.480	103.556
datum921	17.017	1.678	17.325	20.293
datum922	6.964	10.515	10.047	54.977
datum923	16.478	12.474	13.393	62.261
datum924	16.814	16.581	19.741	116.887
datum925	14.120	14.051	13.232	27.942
datum926	8.471	9.993	10.672	136.903
datum927	0.578	8.537	14.009	85.002
datum928	19.178	5.788	16.078	119.516
datum929	19.056	9.104	12.013	147.723
datum930	13.266	16.615	14.241	69.235
datum931	0.905	9.430	14.523	32.993
datum932	4.303	3.498	13.553	278.954
datum933	4.506	1.559	16.930	50.246
datum934	15.839	11.557	16.696	68278.517
datum935	9.520	12.078	10.597	24.913
datum936	6.169	1.881	19.292	443.616
datum937	14.443	9.332	11.105	51.007
datum938	0.796	16.703	10.249	25.830
datum939	16.829	6.465	12.188	32.343
datum940	1.952	16.698	14.670	30.123
datum941	18.408	14.438	10.521	55.941
datum942	15.401	4.377	13.502	20.855
datum943	10.407	5.523	10.272	21.110
datum944	17.994	10.081	13.184	2963.061
datum945	17.070	3.460	13.817	22.050
datum946	11.557	2.757	12.327	22.313
datum947	6.531	1.094	13.840	27.223
datum948	7.279	3.266	14.435	725.629
datum949	17.474	7.079	14.642	21.547
datum950	8.087	6.569	10.873	86.046
datum951	1.280	12.817	18.729	33.316
datum952	14.903	15.470	12.469	28.837
datum953	0.675	6.473	11.765	312.600
datum954	10.789	8.818	12.011	47.648
datum955	11.815	9.321	11.749	36.706
datum956	7.159	2.933	10.698	41.400
datum957	18.252	14.805	16.831	45.594
datum958	19.010	8.381	11.052	42.597
datum959	14.604	4.261	15.122	61.765
datum960	1.594	9.560	19.546	100.505
datum961	11.584	15.488	15.317	9382.744
datum962	19.831	3.067	13.321	21.175
datum963	15.334	13.162	16.016	28.526
datum964	17.267	7.982	14.584	20.070
datum965	18.964	5.155	12.986	74.229
datum966	13.952	11.411	12.106	72.844
datum967	4.524	8.954	19.172	55.701
datum968	1.569	1.485	18.226	47.574
datum969	16.672	14.631	10.423	30.911
datum970	2.000	1.142	16.245	31.466
datum971	13.065	9.506	18.873	44.594
datum972	6.853	13.457	11.258	22.381
datum973	10.322	3.144	16.870	45.381
datum974	16.174	7.603	19.094	26.102
datum975	14.371	16.737	15.217	21.537
datum976	12.036	14.923	10.261	44.973
datum977	6.224	6.740	18.758	326.548
datum978	11.578	8.929	15.075	100.262
datum979	16.423	12.466	10.244	62.743
datum980	9.100	3.104	10.465	31.620
datum981	18.522	12.444	15.851	37.449
datum982	5.068	7.000	11.224	20.247
datum983	0.208	8.810	11.922	22.825
datum984	18.476	12.321	13.699	24.581
datum985	16.814	3.234	11.536	23.502
datum986	18.970	6.609	10.702	70.042
datum987	9.716	5.317	11.235	48.755
datum988	6.674	1.387	11.606	22.307
datum989	18.959	13.799	12.754	53.799
datum990	0.634	14.747	16.855	196.877
datum991	1.147	8.337	12.158	24.449
datum992	9.932	4.944	12.403	353.781
datum993	5.721	15.986	11.391	34.503
datum994	9.189	16.104	14.887	52.166
datum995	0.458	5.261	15.930	70.139
datum996	13.498	13.695	14.929	94.049
datum997	12.485	14.804	12.255	31.516
datum998	16.448	8.538	10.648	22.865
datum999	8.217	0.972	10.134	51.455
datum1000	8.858	12.517	16.442	453.473
datum1001	13.191	3.676	16.471	30.398
datum1002	8.166	16.139	15.826	30.249
datum1003	6.932	16.785	16.686	90.997
datum1004	4.245	7.466	18.302	74.550
datum1005	6.793	7.611	14.549	20.452
datum1006	7.067	6.468	14.562	23.140
datum1007	11.496	7.694	12.114	35.995
datum1008	10.287	11.055	16.982	1291.817
datum1009	1.634	11.143	12.994	29.960
datum1010	13.136	3.436	15.245	34.274
datum1011	4.713	11.491	11.155	31.352
datum1012	8.224	16.210	16.988	100.655
datum1013	13.609	8.773	11.182	23.694
datum1014	18.968	16.726	10.843	33.761
datum1015	5.286	0.662	18.576	21.050
datum1016	4.339	10.827	11.812	29.240
datum1017	6.021	2.997	11.885	129.748
datum1018	17.815	16.484	14.262	57.437
datum1019	8.509	10.283	18.468	143.070
datum1020	10.068	14.072	18.770	322.277
datum1021	10.558	13.431	15.270	28.461
datum1022	2.160	12.159	11.370	40.247
datum1023	6.307	5.342	11.721	41.069
datum1024	10.359	7.036	14.081	64.279
datum1025	18.771	0.101	12.218	453.329
datum1026	4.045	6.656	19.525	527.137
datum1027	11.722	0.317	18.322	29.930
datum1028	1.651	16.505	17.028	31.155
datum1029	7.714	10.043	19.400	20.074
datum1030	15.429	5.921	15.315	25.035
datum1031	1.957	15.123	15.902	55.761
datum1032	8.550	15.741	12.124	25.688
datum1033	6.719	3.922	19.931	33.249
datum1034	5.770	11.629	11.160	40.580
datum1035	16.856	6.861	14.317	56.662
datum1036	18.663	11.236	19.348	26.304
datum1037	15.079	14.414	18.191	64.948
datum1038	10.574	13.288	12.774	168.166
datum1039	16.189	5.983	15.903	32.016
datum1040	13.183	15.628	19.223	73.888
datum1041	11.414	6.271	10.526	25.886
datum1042	7.627	8.988	13.573	300.021
datum1043	9.724	12.889	14.208	33.529
datum1044	18.886	10.517	10.537	24.823
datum1045	9.769	6.748	16.342	26.242
datum1046	7.613	0.856	19.009	25.392
datum1047	8.446	14.432	13.207	79.241
datum1048	13.936	9.692	13.157	30.743
datum1049	11.787	16.170	17.174	35.258
datum1050	10.029	14.804	15.283	54.161
datum1051	4.251	8.426	10.784	34.025
datum1052	12.617	6.512	19.267	24.406
datum1053	6.152	0.901	18.841	58.766
datum1054	11.043	8.039	19.371	23.018
datum1055	3.214	14.762	10.214	26.430
datum1056	1.792	15.613	16.166	49.756
datum1057	8.049	12.391	10.501	27.205
datum1058	8.763	3.770	10.269	21.934
datum1059	5.107	4.358	15.949	39.001
datum1060	13.174	16.053	14.806	23.289
datum1061	4.244	4.271	15.252	25.117
datum1062	15.837	13.671	15.108	23.426
datum1063	8.459	1.794	14.516	44.881
datum1064	14.048	13.698	14.425	864.970
datum1065	11.242	8.163	13.866	78.611
datum1066	14.298	10.132	10.799	31.581
datum1067	7.128	15.488	12.726	21.434
datum1068	7.058	14.964	10.856	21.094
datum1069	5.203	2.972	11.892	65.936
datum1070	5.202	16.763	15.393	32.751
datum1071	4.723	0.218	14.460	300.829
datum1072	13.019	10.075	17.201	822.966
datum1073	1.629	10.729	10.706	24.619
datum1074	6.889	11.252	16.188	31.354
datum1075	16.341	2.710	10.518	170.303
datum1076	0.872	2.532	12.355	523.887
datum1077	2.884	10.487	12.252	60.657
datum1078	0.306	6.370	16.814	37.482
datum1079	19.251	10.075	15.819	53.013
datum1080	0.438	10.083	12.031	23.573
datum1081	4.956	5.712	18.632	38.158
datum1082	15.140	0.183	19.827	20.853
datum1083	18.883	2.336	10.817	30.651
datum1084	16.888	0.426	16.482	54.383
datum1085	19.945	2.591	13.771	168.567
datum1086	4.271	4.220	17.176	67.760
datum1087	4.846	15.872	14.051	39.955
datum1088	8.017	4.224	11.725	21.930
datum1089	3.432	10.452	16.183	28.672
datum1090	4.708	11.229	16.075	22.137
datum1091	12.613	15.709	14.507	54.779
datum1092	0.371	16.632	12.483	516.997
datum1093	2.972	13.270	18.698	50.266
datum1094	6.436	12.707	10.172	34.657
datum1095	6.212	3.883	19.922	27.460
datum1096	15.910	6.474	12.345	20.941
datum1097	12.594	12.499	14.133	26.537
datum1098	4.134	12.303	10.104	58.221
datum1099	11.095	10.626	18.788	334.134
datum1100	12.130	2.334	13.125	21.906
datum1101	8.022	8.168	11.514	105.886
datum1102	11.290	0.913	12.558	29.582
datum1103	18.665	9.613	18.826	53.866
datum1104	11.677	4.317	10.082	39.818
datum1105	11.920	9.789	13.933	116.895
datum1106	14.034	9.359	11.850	28.155
datum1107	18.068	15.424	18.618	24.027
datum1108	8.687	2.419	12.204	51.251
datum1109	3.273	4.691	10.906	69.625
datum1110	0.086	7.547	15.179	26.156
datum1111	11.485	14.453	13.481	20.751
datum1112	9.284	0.927	16.985	48.167
datum1113	15.080	14.666	19.311	74.085
datum1114	14.098	3.642	12.290	21.352
datum1115	2.817	12.020	16.731	52.425
datum1116	14.088	3.096	12.429	33.631
datum1117	0.116	9.638	16.055	420.814
datum1118	1.121	13.494	17.225	43.481
datum1119	8.370	12.679	11.493	43.447
datum1120	6.454	11.854	18.619	40.015
datum1121	4.891	5.552	18.658	48.346
datum1122	13.895	14.297	19.157	33.960
datum1123	11.910	8.295	11.059	36.833
datum1124	5.471	16.311	10.322	27.324
datum1125	16.592	15.820	14.421	21.646
datum1126	13.601	2.753	18.670	20.134
datum1127	8.558	15.071	16.796	82.830
datum1128	7.190	2.536	17.683	42.159
datum1129	9.252	13.319	17.412	22.041
datum1130	12.202	2.230	14.420	29.540
datum1131	2.165	5.325	11.022	28.489
datum1132	0.624	16.137	14.653	429.314
datum1133	6.780	14.655	13.864	83.271
datum1134	5.101	7.630	10.185	21.229
datum1135	8.477	13.220	19.535	30.594
datum1136	16.829	8.859	11.446	26.425
datum1137	1.182	8.867	10.537	130.361
datum1138	14.527	1.596	13.624	24.802
datum1139	5.924	9.812	15.221	26.656
datum1140	8.606	15.370	13.961	33.282
datum1141	2.729	3.405	10.116	22.743
datum1142	15.138	9.824	14.952	53.172
datum1143	13.015	10.528	16.628	31.412
datum1144	6.363	16.524	16.379	20.406
datum1145	15.241	11.232	12.291	20.918
datum1146	14.125	14.932	11.521	21.081
datum1147	16.877	15.498	17.231	142.086
datum1148	1.834	3.936	11.837	27.104
datum1149	13.456	12.591	14.902	49.234
datum1150	16.215	2.479	16.227	20.718
datum1151	10.470	0.697	12.696	20.875
datum1152	18.231	11.946	18.966	27.066
datum1153	19.083	6.340	15.838	32.078
datum1154	11.459	13.965	11.959	20.689
datum1155	7.392	10.456	12.672	35.314
datum1156	16.260	11.452	14.832	149.450
datum1157	4.478	9.430	11.751	20.784
datum1158	10.958	10.147	15.258	27.647
datum1159	1.692	3.288	16.786	95.131
datum1160	5.283	1.792	11.204	40.778
datum1161	10.950	10.025	15.600	44.025
datum1162	19.514	14.542	15.561	27.243
datum1163	0.798	16.741	11.331	848.987
datum1164	4.952	3.409	16.131	59.259
datum1165	18.383	5.610	10.517	41.713
datum1166	0.853	12.906	12.665	20.469
datum1167	8.661	6.461	19.950	27.198
datum1168	8.007	2.057	19.796	22.523
datum1169	0.649	9.015	17.856	36.882
datum1170	2.741	9.982	15.800	29.636
datum1171	16.830	8.392	19.993	55.108
datum1172	7.821	5.849	19.341	53.244
datum1173	2.422	1.021	10.200	486.027
datum1174	4.562	11.883	10.240	85.320
datum1175	2.073	5.364	18.474	24.710
datum1176	2.378	13.267	18.974	69.737
datum1177	16.657	8.912	10.362	141.308
datum1178	5.065	15.439	16.114	45.829
datum1179	16.688	6.344	15.472	39.496
datum1180	11.132	10.517	10.443	1023.850
datum1181	10.515	14.678	14.954	113.806
datum1182	10.400	4.767	16.056	243.397
datum1183	13.531	12.325	13.149	90.695
datum1184	1.287	1.225	18.369	45.786
datum1185	4.877	13.367	18.171	27.382
datum1186	18.754	10.987	13.177	98.389
datum1187	14.209	1.179	10.444	29.853
datum1188	19.032	10.640	16.758	21.603
datum1189	0.243	13.028	12.168	41.201
datum1190	5.898	5.283	13.697	331.971
datum1191	5.579	2.372	12.976	53.667
datum1192	19.073	11.947	18.278	22.912
datum1193	4.865	15.905	15.167	37.568
datum1194	11.753	13.933	16.792	26.563
datum1195	19.008	7.935	10.149	28.637
datum1196	7.519	11.161	10.064	107.115
datum1197	14.134	8.354	12.622	21.391
datum1198	16.795	0.621	16.472	93.745
datum1199	12.098	15.578	18.050	80.417
datum1200	3.922	16.491	13.550	63.017
datum1201	9.672	16.813	12.109	20.128
datum1202	13.443	1.970	14.741	27.316
datum1203	6.544	16.548	10.708	213.061
datum1204	19.330	14.997	17.298	21.214
datum1205	19.657	15.667	12.046	48.001
datum1206	18.321	12.386	16.455	29.049
datum1207	6.509	11.094	10.690	52.836
datum1208	1.580	14.584	14.692	109.330
datum1209	2.654	4.435	17.164	21.358
datum1210	15.116	5.987	14.013	26.149
datum1211	7.851	10.846	14.703	20.381
datum1212	17.066	16.169	13.787	24.385
datum1213	1.339	5.376	14.800	37.720
datum1214	9.558	9.537	13.432	104.833
datum1215	1.636	12.650	14.121	59.090
datum1216	7.944	2.900	16.375	21.311
datum1217	4.324	13.192	10.447	797.128
datum1218	10.299	9.991	11.397	22.513
datum1219	6.668	16.299	18.442	34.667
datum1220	0.441	9.527	15.802	20.526
datum1221	11.431	9.235	11.932	26.969
datum1222	14.896	4.070	15.492	44.119
datum1223	0.621	10.688	19.789	38.796
datum1224	12.996	12.459	16.507	75.295
datum1225	18.207	11.322	10.609	62.978
datum1226	14.526	14.127	17.702	73.447
datum1227	16.119	2.670	14.074	58.454
datum1228	1.630	1.719	18.408	46.070
datum1229	13.904	16.610	11.939	32.768
datum1230	13.999	12.387	16.338	23.928
datum1231	4.155	7.710	18.432	27.549
datum1232	8.711	7.632	18.643	173.831
datum1233	5.265	16.327	19.102	522.446
datum1234	17.522	7.178	18.344	75.560
datum1235	16.148	2.839	14.368	24.642
datum1236	1.622	4.435	13.256	40.207
datum1237	18.278	6.588	11.960	501.082
datum1238	0.598	8.236	10.722	91.529
datum1239	15.610	5.709	14.491	37.801
datum1240	13.717	10.293	19.383	25.077
datum1241	8.069	4.490	19.325	26.852
datum1242	12.857	10.357	13.401	24.834
datum1243	17.797	4.950	18.302	28.904
datum1244	5.810	4.405	10.595	103.064
datum1245	17.438	5.740	18.367	34.354
datum1246	0.581	4.786	12.696	139.873
datum1247	5.301	7.406	14.629	30.628
datum1248	3.418	7.926	15.931	57.016
datum1249	12.688	2.357	16.417	230.816
datum1250	3.835	11.941	12.727	47.394
datum1251	16.554	7.450	19.551	21.988
datum1252	10.607	4.951	13.735	72.223
datum1253	0.038	15.498	16.116	26.859
datum1254	14.616	14.136	10.079	25.155
datum1255	16.762	10.553	15.901	44.577
datum1256	1.912	12.451	18.599	35.084
datum1257	9.914	12.656	12.972	115.270
datum1258	12.534	11.171	16.416	38.711
datum1259	8.540	16.304	15.995	27.954
datum1260	2.520	13.747	19.229	25.025
datum1261	18.846	15.624	14.925	145.638
datum1262	9.225	8.144	15.967	37.166
datum1263	2.098	5.403	13.386	58.168
datum1264	1.175	16.352	12.765	31.193
datum1265	16.074	11.319	10.526	28.239
datum1266	14.571	3.427	12.254	274.840
datum1267	11.741	4.527	17.894	20.413
datum1268	18.050	7.384	16.549	511.032
datum1269	19.623	11.862	12.650	345.383
datum1270	17.523	15.295	16.577	34.331
datum1271	14.692	12.138	19.674	170.412
datum1272	10.059	14.120	16.062	42.595
datum1273	11.743	15.289	16.962	110.315
datum1274	12.998	6.271	11.397	92.373
datum1275	10.526	0.775	12.550	30.001
datum1276	12.851	2.571	10.899	153.201
datum1277	17.246	12.155	11.496	71.302
datum1278	12.018	11.059	11.682	130.273
datum1279	11.641	13.343	10.759	41.928
datum1280	2.425	13.706	17.561	24.449
datum1281	2.294	15.813	13.308	51.181
datum1282	12.099	12.871	14.459	25.863
datum1283	7.789	13.736	13.178	40.717
datum1284	9.115	4.775	10.360	70.754
datum1285	2.655	14.712	17.208	23.290
datum1286	4.931	5.580	12.596	23.555
datum1287	11.720	2.123	10.220	398.444
datum1288	10.174	11.598	16.382	98.244
datum1289	17.431	14.862	10.594	20.771
datum1290	2.556	6.121	19.601	788.552
datum1291	2.426	16.270	10.537	22.997
datum1292	5.399	8.160	14.693	45.524
datum1293	2.079	5.924	16.043	20.118
datum1294	17.281	8.339	17.892	20.330
datum1295	19.904	14.868	13.877	25.794
datum1296	19.076	13.040	14.530	84.158
datum1297	9.153	0.955	13.775	21.860
datum1298	0.962	8.572	10.592	310.580
datum1299	17.610	5.649	15.346	24.393
datum1300	3.459	4.434	13.301	46.984
datum1301	6.496	16.805	15.478	37.853
datum1302	4.501	4.890	17.431	25.835
datum1303	16.286	10.746	11.756	124.973
datum1304	7.228	14.452	14.313	123.738
datum1305	14.354	16.218	10.680	21.387
datum1306	18.464	6.292	10.753	36.125
datum1307	1.758	11.885	11.278	567.136
datum1308	0.279	9.998	11.464	28.370
datum1309	19.921	4.803	17.077	206.597
datum1310	13.486	9.287	13.360	62.375
datum1311	18.963	7.292	13.310	21.385
datum1312	0.712	0.459	19.354	83.903
datum1313	1.972	11.920	19.921	23.429
datum1314	10.643	5.114	13.725	116.271
datum1315	4.759	4.103	18.436	132.980
datum1316	4.653	0.817	19.864	52.310
datum1317	13.559	15.273	10.054	309.931
datum1318	17.439	3.929	11.450	36.758
datum1319	9.594	8.084	10.810	20.605
datum1320	3.842	3.903	18.278	21.836
datum1321	13.356	5.404	12.013	21.631
datum1322	8.816	9.935	16.260	33.801
datum1323	16.837	2.646	19.600	29.005
datum1324	7.403	8.326	10.733	125.377
datum1325	2.098	2.800	18.238	25.539
datum1326	3.571	8.916	12.763	29.369
datum1327	9.141	3.182	16.582	73.375
datum1328	10.138	14.529	15.924	57.177
datum1329	1.846	11.315	13.273	25.339
datum1330	10.384	2.210	10.614	36.296
datum1331	10.335	15.050	15.897	30.778
datum1332	12.637	13.016	15.131	36.518
datum1333	14.234	15.931	11.279	41.297
datum1334	19.149	9.808	16.222	38.813
datum1335	10.137	4.739	17.188	40.657
datum1336	9.643	6.766	10.102	24.343
datum1337	19.953	5.770	18.158	45.304
datum1338	15.660	4.388	18.244	20.620
datum1339	2.892	2.710	13.403	22.133
datum1340	2.448	13.217	19.909	132.479
datum1341	15.116	2.739	17.024	196.489
datum1342	13.450	8.604	13.627	31.558
datum1343	7.874	10.006	18.009	49.509
datum1344	9.713	16.390	12.055	903.106
datum1345	9.039	11.560	11.004	34.768
datum1346	5.403	13.394	15.926	48.085
datum1347	1.718	13.826	15.201	65.612
datum1348	6.912	6.225	16.712	22.026
datum1349	10.270	14.006	10.007	55.327
datum1350	17.795	2.892	13.483	28.948
datum1351	14.593	11.347	16.352	32.619
datum1352	12.026	2.318	11.082	76.216
datum1353	11.220	2.467	19.817	20.327
datum1354	6.262	5.335	13.970	505.650
datum1355	13.847	11.759	12.922	35.397
datum1356	15.893	0.293	12.750	21.925
datum1357	5.339	14.126	11.196	58.056
datum1358	3.997	5.060	17.248	20.817
datum1359	17.523	5.950	18.102	76.570
datum1360	2.547	3.777	15.477	28.649
datum1361	12.368	8.240	11.713	23.426
datum1362	0.399	8.258	13.686	21.846
datum1363	6.480	3.108	14.050	42.682
datum1364	13.249	16.673	15.426	33.154
datum1365	8.374	4.458	10.884	40.191
datum1366	13.881	9.751	12.323	36.785
datum1367	11.635	11.104	15.872	24.618
datum1368	0.917	15.754	17.401	39.132
datum1369	17.957	10.010	10.944	85.882
datum1370	19.832	15.938	14.533	22.668
datum1371	1.695	16.369	11.633	54.482
datum1372	17.033	10.994	17.522	151.489
datum1373	16.048	9.752	10.763	67.877
datum1374	8.774	10.922	10.844	39.209
datum1375	3.057	13.052	19.799	44.503
datum1376	19.221	13.092	15.875	73.506
